Characteristic,Total,Male,Female,Unknown
AGE,,,,
Total,"1,130,818","513,015","617,799",4
Under 1 year,"5,782","2,706","3,076",-
1 to 4 years,"32,395","15,975","16,420",-
5 to 9 years,"55,373","28,263","27,110",-
10 to 14 years,"75,328","38,720","36,608",-
15 to 19 years,"94,801","48,195","46,606",-
20 to 24 years,"114,881","50,315","64,566",-
25 to 29 years,"136,807","58,445","78,361",1
30 to 34 years,"141,060","65,551","75,509",-
35 to 39 years,"120,813","56,835","63,978",-
40 to 44 years,"90,088","40,562","49,526",-
45 to 49 years,"69,989","29,975","40,012",2
50 to 54 years,"54,632","22,263","32,368",1
55 to 59 years,"44,355","17,132","27,223",-
60 to 64 years,"35,853","13,861","21,992",-
65 to 74 years,"43,873","18,142","25,731",-
75 years and over,"14,786","6,073","8,713",-
Unknown,2,2,-,-
BROAD AGE GROUPS,,,,
Total,"1,130,818","513,015","617,799",4
Under 16 years,"185,960","94,529","91,431",-
16 to 20 years,"101,864","50,720","51,144",-
21 years and over,"842,992","367,764","475,224",4
Unknown,2,2,-,-
MARITAL STATUS,,,,
Total,"1,130,818","513,015","617,799",4
Single,"417,232","219,812","197,419",1
Married,"654,674","279,354","375,320",-
Widowed,"28,439","3,288","25,151",-
Divorced/separated,"26,015","8,261","17,754",-
Unknown,"4,458","2,300","2,155",3
OCCUPATION,,,,
Total,"1,130,818","513,015","617,799",4
"Management, professional, and related occupations","107,530","68,097","39,433",-
Service occupations,"60,758","33,801","26,957",-
Sales and office occupations,"40,512","18,221","22,291",-
"Farming, fishing, and forestry occupations","13,609","11,262","2,347",-
"Construction, extraction, maintenance, and repair occupations","8,835","8,666",169,-
"Production, transportation, and material moving occupations","47,815","36,931","10,884",-
Military,65,47,18,-
No occupation/not working outside home,"563,569","197,824","365,744",1
Homemakers,"165,742","4,871","160,871",-
Students or children,"291,460","146,913","144,546",1
Retirees,"10,523","4,857","5,666",-
Unemployed,"95,844","41,183","54,661",-
Unknown,"288,125","138,166","149,956",3
