"Characteristic","Total","Female","Male","Unknown","","","",""
"AGE","","","","","","","",""
"Total","1,031,765","561,903","469,710","152","","","",""
"Under 1 year","2,468","1,216","1,252","-","","","",""
"1 to 4 years","26,611","12,939","13,672","-","","","",""
"5 to 9 years","51,480","25,553","25,926","1","","","",""
"10 to 14 years","57,004","28,031","28,969","4","","","",""
"15 to 19 years","70,341","34,398","35,941","2","","","",""
"20 to 24 years","85,978","48,409","37,559","10","","","",""
"25 to 29 years","120,474","68,682","51,787","5","","","",""
"30 to 34 years","132,512","69,973","62,530","9","","","",""
"35 to 39 years","111,914","58,938","52,962","14","","","",""
"40 to 44 years","92,238","50,646","41,579","13","","","",""
"45 to 49 years","80,647","45,327","35,297","23","","","",""
"50 to 54 years","61,497","35,442","26,036","19","","","",""
"55 to 59 years","47,272","27,995","19,257","20","","","",""
"60 to 64 years","35,892","21,509","14,368","15","","","",""
"65 to 74 years","41,115","24,175","16,925","15","","","",""
"75 years and over","14,322","8,670","5,650","2","","","",""
"BROAD AGE GROUPS","","","","","","","",""
"Total","1,031,765","561,903","469,710","152","","","",""
"Under 16 years","150,042","73,828","76,209","5","","","",""
"16 to 20 years","75,033","37,117","37,911","5","","","",""
"21 years and over","806,690","450,958","355,590","142","","","",""
"MARITAL STATUS","","","","","","","",""
"Total","1,031,765","561,903","469,710","152","","","",""
"Married","628,330","350,628","277,591","111","","","",""
"Single","339,227","164,830","174,372","25","","","",""
"Widowed","23,661","20,829","2,822","10","","","",""
"Divorced/separated","29,671","20,697","8,969","5","","","",""
"Unknown","10,876","4,919","5,956","1","","","",""
"OCCUPATION","","","","","","","",""
"Total","1,031,765","561,903","469,710","152","","","",""
"Management, professional, and related occupations","125,199","57,830","67,358","11","","","",""
"Service occupations","48,591","28,618","19,971","2","","","",""
"Sales and office occupations","50,890","28,034","22,846","10","","","",""
"Farming, fishing, and forestry occupations","11,321","2,430","8,886","5","","","",""
"Construction, extraction, maintenance, and repair occupations","15,903","637","15,265","1","","","",""
"Production, transportation, and material moving occupations","45,269","10,974","34,288","7","","","",""
"Military","134","28","106","-","","","",""
"No occupation/not working outside home","375,926","233,631","142,223","72","","","",""
"Homemakers","86,323","82,185","4,108","30","","","",""
"Students or children","213,450","105,312","108,121","17","","","",""
"Retirees","3,157","1,796","1,361","-","","","",""
"Unemployed","72,996","44,338","28,633","25","","","",""
"Unknown","358,532","199,721","158,767","44","","","",""
